Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
25.07.2025;25.07.2025;-38,84;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20250725390000000030
23.07.2025;23.07.2025;-5,88;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250723610730';20250723390000000010
22.07.2025;21.07.2025;-15,29;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250721818315';20250721390000000009
22.07.2025;20.07.2025;-38,09;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 250720290843';20250720390000000013
21.07.2025;19.07.2025;-63,42;KORTTIOSTO;MATTI MEIKÄLÄINEN;Verkkokauppa.com;-;-;-;'431871******3110 250719422921';20250719390000000026
20.07.2025;18.07.2025;-5,09;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 250718208083';20250718390000000008
19.07.2025;18.07.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 250718612493';20250718390000000007
18.07.2025;18.07.2025;-1,98;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250718538502';20250718390000000023
17.07.2025;17.07.2025;-3,44;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250717390676';20250717390000000024
17.07.2025;15.07.2025;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PJ5LPG;-;-;-;'431871******3110 250715944257';20250715390000000006
14.07.2025;14.07.2025;-26,86;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250714680773';20250714390000000021
13.07.2025;11.07.2025;-11,13;KORTTIOSTO;MATTI MEIKÄLÄINEN;Fooni bar and cafe;-;-;-;'431871******3110 250711390630';20250711390000000020
10.07.2025;10.07.2025;-126,72;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20250710390000000028
09.07.2025;09.07.2025;-5,44;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250709502484';20250709390000000025
08.07.2025;08.07.2025;-39,55;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250708950504';20250708390000000015
08.07.2025;06.07.2025;-12,19;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250706324963';20250706390000000017
07.07.2025;07.07.2025;-14,68;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20250707390000000003
05.07.2025;05.07.2025;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20250705390000000002
05.07.2025;04.07.2025;-17,50;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250704770177';20250704390000000018
05.07.2025;03.07.2025;-18,87;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250703906380';20250703390000000014
03.07.2025;02.07.2025;-9,44;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 250702786012';20250702390000000027
03.07.2025;02.07.2025;-4,38;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 250702420250';20250702390000000011
03.07.2025;02.07.2025;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 250702719210';20250702390000000005
02.07.2025;02.07.2025;-35,71;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250702689862';20250702390000000012
02.07.2025;01.07.2025;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 250701157446';20250701390000000004
